"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","TMAX","TMIN"
"USC00080945","27.4467","-82.5014","6.1","2012-01-01","25.6","11.7"
"USC00080945","27.4467","-82.5014","6.1","2012-01-02","20.6","10.0"
"USC00080945","27.4467","-82.5014","6.1","2012-01-03","14.4","3.3"
"USC00080945","27.4467","-82.5014","6.1","2012-01-04","13.3","0.6"
"USC00080945","27.4467","-82.5014","6.1","2012-01-05","18.3","0.6"
"USC00080945","27.4467","-82.5014","6.1","2012-01-06","21.1","6.7"
"USC00080945","27.4467","-82.5014","6.1","2012-01-07","22.2","11.1"
"USC00080945","27.4467","-82.5014","6.1","2012-01-08","24.4","9.4"
"USC00080945","27.4467","-82.5014","6.1","2012-01-09","25.0","11.7"
"USC00080945","27.4467","-82.5014","6.1","2012-01-10","26.1","11.7"
"USC00080945","27.4467","-82.5014","6.1","2012-01-11","22.8","14.4"
"USC00080945","27.4467","-82.5014","6.1","2012-01-12","24.4","12.8"
"USC00080945","27.4467","-82.5014","6.1","2012-01-13","18.9","11.1"
"USC00080945","27.4467","-82.5014","6.1","2012-01-14","14.4","6.1"
"USC00080945","27.4467","-82.5014","6.1","2012-01-15","18.3","2.8"
"USC00080945","27.4467","-82.5014","6.1","2012-01-16","22.2","6.1"
"USC00080945","27.4467","-82.5014","6.1","2012-01-17","24.4","9.4"
"USC00080945","27.4467","-82.5014","6.1","2012-01-18","25.0","11.7"
"USC00080945","27.4467","-82.5014","6.1","2012-01-19","21.7","10.6"
"USC00080945","27.4467","-82.5014","6.1","2012-01-20","24.4","8.9"
"USC00080945","27.4467","-82.5014","6.1","2012-01-21","25.6","11.7"
"USC00080945","27.4467","-82.5014","6.1","2012-01-22","26.1","12.2"
"USC00080945","27.4467","-82.5014","6.1","2012-01-23","25.6","13.9"
"USC00080945","27.4467","-82.5014","6.1","2012-01-24","26.7","15.6"
"USC00080945","27.4467","-82.5014","6.1","2012-01-25","27.2","17.2"
"USC00080945","27.4467","-82.5014","6.1","2012-01-26","27.2","17.2"
"USC00080945","27.4467","-82.5014","6.1","2012-01-27","21.7","16.7"
"USC00080945","27.4467","-82.5014","6.1","2012-01-28","20.0","12.8"
"USC00080945","27.4467","-82.5014","6.1","2012-01-29","22.2","12.8"
"USC00080945","27.4467","-82.5014","6.1","2012-01-30","23.3","11.1"
"USC00080945","27.4467","-82.5014","6.1","2012-01-31","25.6","12.2"
"USC00080945","27.4467","-82.5014","6.1","2012-02-01","26.1","13.3"
"USC00080945","27.4467","-82.5014","6.1","2012-02-02","25.6","14.4"
"USC00080945","27.4467","-82.5014","6.1","2012-02-03","23.3","17.2"
"USC00080945","27.4467","-82.5014","6.1","2012-02-04","28.3","17.2"
"USC00080945","27.4467","-82.5014","6.1","2012-02-05","25.6","17.8"
"USC00080945","27.4467","-82.5014","6.1","2012-02-06","28.3","18.9"
"USC00080945","27.4467","-82.5014","6.1","2012-02-07","23.3","17.8"
"USC00080945","27.4467","-82.5014","6.1","2012-02-08","23.3","15.0"
"USC00080945","27.4467","-82.5014","6.1","2012-02-09","22.8","13.3"
"USC00080945","27.4467","-82.5014","6.1","2012-02-10","25.6","14.4"
"USC00080945","27.4467","-82.5014","6.1","2012-02-11","17.8","11.7"
"USC00080945","27.4467","-82.5014","6.1","2012-02-12","12.2","2.2"
"USC00080945","27.4467","-82.5014","6.1","2012-02-13","18.9","2.2"
"USC00080945","27.4467","-82.5014","6.1","2012-02-14","24.4","9.4"
"USC00080945","27.4467","-82.5014","6.1","2012-02-15","27.2","14.4"
"USC00080945","27.4467","-82.5014","6.1","2012-02-16","26.7","15.6"
"USC00080945","27.4467","-82.5014","6.1","2012-02-17","25.0","17.2"
"USC00080945","27.4467","-82.5014","6.1","2012-02-18","26.1","17.2"
"USC00080945","27.4467","-82.5014","6.1","2012-02-19","26.1","17.8"
"USC00080945","27.4467","-82.5014","6.1","2012-02-20","21.7","13.3"
