Monthly Mosquito Count,PRCP,TMAX,TMIN
3,0.0,34.4,22.2
3,0.0,34.4,22.2
3,2.8,32.8,22.2
3,2.0,32.8,21.7
3,133.9,,
3,5.8,,
3,18.5,33.9,23.3
3,23.9,34.4,21.7
3,0.0,34.4,21.7
3,4.3,33.3,22.2
3,2.3,32.8,22.8
3,1.8,33.9,22.8
3,0.0,33.3,22.2
3,0.0,33.3,22.8
3,0.0,33.9,22.2
3,0.0,32.2,23.9
3,0.0,34.4,23.3
3,0.0,33.3,20.0
3,0.0,34.4,21.1
3,0.0,35.0,22.8
3,99.3,35.0,21.7
3,27.9,31.7,23.9
3,1.8,32.2,23.9
3,7.4,34.4,22.2
3,0.0,,
3,14.7,,
3,0.0,,
3,0.0,,
3,0.0,,
3,0.0,34.4,21.7
3,0.0,34.4,22.2
3,2.3,32.2,22.8
3,6.1,26.7,22.8
3,13.2,30.6,21.7
3,4.3,33.9,21.7
3,0.0,33.9,22.2
3,0.0,33.9,21.7
3,0.0,35.6,21.7
3,14.7,36.1,22.8
3,0.0,35.0,22.2
3,56.6,35.6,21.7
3,0.0,35.6,22.8
3,0.0,33.3,24.4
3,0.0,33.3,22.8
3,0.0,33.9,21.7
3,0.0,34.4,22.8
3,0.0,33.9,23.9
3,25.4,34.4,22.2
3,0.0,33.9,22.8
3,0.0,35.0,22.8
3,0.0,34.4,22.8
3,0.0,33.9,21.1
3,0.0,31.7,21.7
3,0.8,32.8,21.7
3,0.0,32.8,21.1
3,18.3,32.8,21.7
3,5.6,32.8,21.7
3,15.5,32.8,22.2
3,0.0,33.3,22.2
3,0.0,32.8,22.2
3,0.0,30.6,22.2
3,0.0,32.8,22.8
3,1.5,32.2,22.2
3,0.0,33.9,21.1
3,0.0,33.3,21.7
3,26.9,25.0,22.2
3,0.0,32.2,19.4
3,43.7,28.3,21.7
3,35.6,28.9,21.1
3,14.7,30.6,22.2
3,9.4,30.0,21.7
3,9.1,29.4,21.1
3,36.1,27.2,21.7
3,0.0,31.1,21.1
3,24.1,32.2,22.8
3,71.6,30.6,22.8
3,9.4,31.1,22.8
3,6.6,31.1,22.8
3,11.7,30.0,22.2
2,11.7,25.0,13.9
2,0.0,27.8,15.6
2,15.5,29.4,20.0
2,0.0,31.1,20.6
2,0.0,31.1,19.4
2,0.0,31.7,19.4
2,0.0,32.2,19.4
2,0.0,31.7,19.4
2,0.0,31.7,20.6
2,0.0,30.6,22.2
2,18.8,28.9,22.2
